n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,6150,2721.62,2500,4200,5700,7325,24500
16,7878.91,4141.96,3700,5600,7150,9025,50300
32,14893.4,10244.7,7900,11900,13800,16100,167800
64,26787.1,7356.11,16000,22600,25450,27900,67300
128,48246.1,17734.3,32200,39375,43300,50600,253900
256,86237.9,20932.8,64500,73575,80950,88500,195600
512,175363,37997.5,137300,151750,164950,178025,407800
